,FG1,FG2,FG3,FF1,FF2,FF3,FF4,SF1,SF2,Lab1,Gre1,S-PBP1,S-PBP2,SD1,Renua1,Aontu1,Ind1,Ind2,Ind3,Ind4,Ind5,Ind6,Ind7
Carlow-Kilkenny,17.35914995,12.81962329,6.137440045,11.96331595,7.662454432,5.042389368,0,25.48757378,0,2.142709091,7.277729152,1.661192862,0,0.214322727,0.014175,1.781304395,0.237652787,0.091055084,0.040987289,0.017489609,0,0,0
Cavan-Monaghan,17.78916165,13.13718423,6.28947347,7.299763806,4.675468553,3.076759951,0,24.81599131,14.08054679,0.965075782,3.718726652,0.898716154,0,0.098731055,0,3.021396,0.063123041,0.024185173,0.010886648,0.004645421,0,0,0
Clare,19.45754197,14.36927263,6.879340154,10.99461743,7.042007029,4.634094948,0,16.55790168,0,0,9.692963636,1.574522677,0,0,3.10E-05,0,5.372118438,2.058291434,0.926513734,0.395350939,0,0,0
Cork East,20.22253833,13.42561197,0,10.56177941,6.044791991,0,0,24.95302711,0,8.968050764,9.051352,0,0,0.787987309,0,1.359975658,2.838740066,1.087644368,0.489589291,0.208911729,0,0,0
Cork North-Central,17.37400336,11.53448809,0,7.452495255,4.773292416,3.141134364,0,19.09774583,10.83602507,3.5626725,7.251085136,5.68007,0,2.516831875,0,1.422295579,3.269735709,1.252777481,0.563921864,0.240630042,0,0,0
Cork North-West,28.64720731,19.01869504,0,16.3509135,9.358069991,0,0,16.93766073,0,0,3.559859864,0,0,4.29,0,1.309067158,0.324407836,0.124294704,0.055949681,0.023874184,0,0,0
Cork South-Central,21.0456293,13.97205672,0,14.41667063,8.251050484,0,0,25.83341353,0,1.5735421,9.845503318,1.047748062,0,2.039114475,0,1.309067158,0.408914045,0.156672696,0.070524223,0.030093259,0,0,0
Cork South-West,22.23066927,14.75879707,0,9.841570074,5.632596709,0,0,13.2662047,0,0,4.092648242,0.749839754,0,10.59,0,0.637212421,11.17138588,4.280242166,1.926696621,0.822137105,0,0,0
Donegal,16.58632681,11.01155474,0,8.313785411,4.758204229,0,0,30.09947077,17.0783831,0,2.368948545,0,0,0,0,1.718364421,4.95024816,1.896654644,0.853754987,0.364304191,0,0,0
Dublin Bay North,16.18955853,10.74814285,0,5.321191432,3.045461763,0,0,19.9722976,11.33224409,8.227517236,8.912138773,3.605083169,0,9.293120691,0,0.737169263,1.605738308,0.615227948,0.276937043,0.118171287,0,0,0
Dublin Bay South,21.71902296,14.4191184,0,8.673564608,0,0,0,16.9078627,0,5.736554036,23.88910952,1.984695477,0,5.085861491,0.0208,0,0.959616609,0.367670718,0.165502302,0.070621177,0,0,0
Dublin Central,13.49953526,8.962253857,0,6.284535608,0,0,0,37.53070566,0,3.900762464,13.33693897,1.57610269,0.867467372,9.637309384,0,1.021954605,2.076127374,0.795454389,0.358063685,0.152788684,0,0,0
Dublin Fingal,17.10704735,11.35725773,0,8.573245302,4.906700141,0,0,26.17479546,0,5.160573736,14.695058,0.924163204,0.508647965,3.967356566,0,0,4.066498909,1.558051999,0.701337309,0.299266329,0,0,0
Dublin Mid-West,16.04116667,10.64962646,0,4.901259739,2.805123498,0,0,28.62848504,16.24374857,2.424987191,6.907680409,6.256124677,0,0.241253202,0,0,3.007938747,1.152471717,0.518770499,0.221363587,0,0,0
Dublin North-West,17.62951505,0,0,6.987162502,0,0,0,28.7338043,16.30350651,1.868493491,5.305954652,2.951596154,0,19.09787663,0,0,0.688735735,0.263884514,0.118784261,0.050686209,0,0,0
